# Time-averaged data for fix myat2
# TimeStep v_Ntype2in v_Ntype2ou
2000 132.165 17.835
4000 120.035 29.965
6000 114.215 35.785
8000 112.44 37.56
10000 104.04 45.96
12000 99.425 50.575
14000 97.535 52.465
16000 94.655 55.345
18000 90.695 59.305
20000 90.955 59.045
22000 87.305 62.695
24000 84.345 65.655
26000 76.1 73.9
28000 74.96 75.04
30000 69.225 80.775
32000 68.75 81.25
34000 71.575 78.425
36000 70.875 79.125
38000 70.03 79.97
40000 64.92 85.08
42000 63.275 86.725
44000 63.21 86.79
46000 62.755 87.245
48000 59.265 90.735
50000 61.56 88.44
52000 59.5 90.5
54000 57.83 92.17
56000 57.82 92.18
58000 58.125 91.875
60000 59.48 90.52
62000 57.88 92.12
64000 54.305 95.695
66000 52.73 97.27
68000 54.265 95.735
70000 56.285 93.715
72000 55.275 94.725
74000 50.12 99.88
76000 50.43 99.57
78000 49.43 100.57
80000 46.97 103.03
82000 49.06 100.94
84000 50.165 99.835
86000 48.895 101.105
88000 49.965 100.035
90000 47.425 102.575
92000 45.185 104.815
94000 46.095 103.905
96000 43.38 106.62
98000 39.435 110.565
100000 38.285 111.715
102000 37.37 112.63
104000 37.545 112.455
106000 37.78 112.22
108000 38.08 111.92
110000 33.56 116.44
112000 33.825 116.175
114000 35.565 114.435
116000 38.135 111.865
118000 42.455 107.545
120000 42.325 107.675
122000 37.87 112.13
124000 36.78 113.22
126000 35.965 114.035
128000 30.5 119.5
130000 30.175 119.825
132000 30.525 119.475
134000 27.295 122.705
136000 29.035 120.965
138000 30.74 119.26
140000 30.08 119.92
142000 29.985 120.015
144000 32.045 117.955
146000 32.41 117.59
148000 32.815 117.185
150000 33.59 116.41
152000 30.765 119.235
154000 29.22 120.78
156000 30.21 119.79
158000 31.94 118.06
160000 31.015 118.985
162000 26.405 123.595
164000 24.595 125.405
166000 27.83 122.17
168000 30.035 119.965
170000 30.13 119.87
172000 29.355 120.645
174000 29.745 120.255
176000 27.395 122.605
178000 27.88 122.12
180000 28.39 121.61
182000 28.835 121.165
184000 30.71 119.29
186000 29.605 120.395
188000 25.95 124.05
190000 25.825 124.175
192000 26.75 123.25
194000 26.91 123.09
196000 28.79 121.21
198000 28.235 121.765
200000 27.885 122.115
202000 28.95 121.05
204000 27.29 122.71
206000 26.575 123.425
208000 26.915 123.085
210000 27.845 122.155
212000 28.015 121.985
214000 29.4 120.6
216000 28.31 121.69
218000 27.03 122.97
220000 23.865 126.135
222000 22.855 127.145
224000 22.145 127.855
226000 23.275 126.725
228000 25.365 124.635
230000 25.375 124.625
232000 27.02 122.98
234000 25.69 124.31
236000 24.87 125.13
238000 26.79 123.21
240000 31.5 118.5
242000 31.655 118.345
244000 27.2 122.8
246000 27.675 122.325
248000 25.395 124.605
250000 28.77 121.23
252000 29.185 120.815
254000 25.075 124.925
256000 24.57 125.43
258000 27.985 122.015
260000 28.405 121.595
262000 28.4 121.6
264000 29.52 120.48
266000 29.535 120.465
268000 26.57 123.43
270000 28.205 121.795
272000 30.895 119.105
274000 31.125 118.875
276000 30.47 119.53
278000 30.725 119.275
280000 31.505 118.495
282000 29.785 120.215
284000 27.25 122.75
286000 30.06 119.94
288000 29.585 120.415
290000 29.975 120.025
292000 29.21 120.79
294000 29.745 120.255
296000 31.175 118.825
298000 32.155 117.845
300000 32.83 117.17
